Points,Rider,Bike,Nation
383,Jorge Lorenzo,Yamaha,SPA
245,Dani Pedrosa,Honda,SPA
233,Valentino Rossi,Yamaha,ITA
225,Casey Stoner,Ducati,AUS
206,Andrea Dovizioso,Honda,ITA
176,Ben Spies,Yamaha,USA
163,Nicky Hayden,Ducati,USA
125,Marco Simoncelli,Honda,ITA
116,Randy De Puniet,Honda,FRA
103,Marco Melandri,Honda,ITA
103,Colin Edwards,Yamaha,USA
90,Hector Barbera,Ducati,SPA
85,Alvaro Bautista,Suzuki,SPA
65,Aleix Espargaro,Ducati,SPA
53,Hiroshi Aoyama,Honda,JPN
44,Loris Capirossi,Suzuki,ITA
43,Mika Kallio,Ducati,FIN
11,Alex De Angelis,Honda,RSM
5,Roger Lee HAYDEN,Honda,USA
4,Kousuke Akiyoshi,Honda,JPN
1,Carlos Checa,Ducati,SPA
1,Wataru Yoshikawa,Yamaha,JPN
