Circuit,Country,Length(km),Speed(km/h),Time
Losail Circuit,QATAR,5.38,167.5,115.575
Circuit Of The Americas,UNITED STATES,5.513,160.6,123.575
Mazda Raceway Laguna Seca ,UNITED STATES,3.602,174.3,99.233
Jerez,SPAIN,4.428,159.4,99.841
Le Mans,FRANCE,4.273,161,93.548
Mugello,ITALY,5.245,175,107.892
Circuit de Barcelona-Catalunya,SPAIN,4.655,166.5,102.182
Assen,NETHERLANDS,4.545,172.8,94.575
Sachsenring,GERMANY,3.7,161,82.037
Indianapolis Motor Speedway,UNITED STATES,3.925,161.7,92.831
Automotodrom Brno,CZECH REPUBLIC,5.403,167.6,116.027
Silverstone,GREAT BRITAIN,5.891,174.1,121.98
Misano World Circuit,ITALY,4.064,161.6,94.108
MotorLand Aragon,SPAIN,5.078,167.5,109.107
Motegi,JAPAN,4.8,164,105.35
Phillip Island,AUSTRALIA,4.445,178.7,89.605
Sepang Circuit,MALAYSIA,5.543,164.7,121.15
Comunitat Valenciana,SPAIN,4.005,157.5,91.515
