Circuit,Country,Length(km),Speed(km/h),Time
Losail Circuit,QATAR,5.38,167.6,115.541
Jerez,SPAIN,4.428,159.2,100.019
Autodromo do Estoril,PORTUGAL,4.182,155.4,96.909
Le Mans,FRANCE,4.273,144,104.614
Circuit de Barcelona-Catalunya,SPAIN,4.655,165.8,102.642
Silverstone,GREAT BRITAIN,5.891,172.8,122.888
Assen,NETHERLANDS,4.545,172.9,94.548
Sachsenring,GERMANY,3.7,160.6,82.304
Mugello,ITALY,5.245,175.3,107.705
Mazda Raceway Laguna Seca ,UNITED STATES,3.602,160,81.229
Indianapolis Motor Speedway,UNITED STATES,4.078,153.2,99.088
Automotodrom Brno,CZECH REPUBLIC,5.403,167.3,116.274
Misano World Circuit,ITALY,4.064,161.2,94.398
MotorLand Aragon,SPAIN,5.078,167.5,109.109
Motegi,JAPAN,4.8,163.7,105.589
Sepang Circuit,MALAYSIA,5.543,148.3,134.67
Phillip Island,AUSTRALIA,4.445,177.5,90.191
Comunitat Valenciana,SPAIN,4.005,154.8,93.119
