Points,Rider,Bike,Nation
334,Marc Marquez,Honda,SPA
330,Jorge Lorenzo,Yamaha,SPA
300,Dani Pedrosa,Honda,SPA
237,Valentino Rossi,Yamaha,ITA
188,Cal Crutchlow,Yamaha,GBR
171,Alvaro Bautista,Honda,SPA
156,Stefan Bradl,Honda,GER
140,Andrea Dovizioso,Ducati,ITA
126,Nicky Hayden,Ducati,USA
116,Bradley Smith,Yamaha,GBR
93,Aleix Espargaro,ART,SPA
57,Andrea Iannone,Ducati,ITA
56,Michele Pirro,Ducati,ITA
41,Colin Edwards,FTR Kawasaki,USA
36,Randy De Puniet,ART,FRA
35,Hector Barbera,FTR,SPA
26,Danilo Petrucci,Ioda-Suter,ITA
21,Yonny Hernandez,Ducati,COL
14,Claudio Corti,FTR Kawasaki,ITA
13,Hiroshi Aoyama,FTR,JPN
9,Ben Spies,Ducati,USA
5,Katsuyuki Nakasuga,Yamaha,JPN
5,Alex De Angelis,Ducati,RSM
5,Karel Abraham,ART,CZE
3,Michael Laverty,PBM,GBR
2,Bryan Staring,FTR Honda,AUS
1,Javier Del Amor,FTR,SPA
