Circuit,Country,Length(km),Speed(km/h),Time
Losail Circuit,QATAR,5.38,167.6,115.537
Jerez,SPAIN,4.428,159.7,99.731
Le Mans,FRANCE,4.273,159.4,94.545
Mugello,ITALY,5.245,172.4,109.531
Silverstone,GREAT BRITAIN,5.901,172,123.526
Assen,NETHERLANDS,4.545,173,94.525
Circuit de Barcelona-Catalunya,SPAIN,4.655,165,103.154
Sachsenring,GERMANY,3.7,161.4,81.882
Mazda Raceway Laguna Seca ,UNITED STATES,3.602,159.7,81.376
Automotodrom Brno,CZECH REPUBLIC,5.403,165.5,117.524
Indianapolis Motor Speedway,UNITED STATES,4.078,150.4,100.896
Misano World Circuit,ITALY,4.064,161.3,94.34
MotorLand Aragon,SPAIN,5.078,166.9,109.521
Motegi,JAPAN,4.8,160.9,107.395
Sepang Circuit,MALAYSIA,5.543,163.6,122.117
Phillip Island,AUSTRALIA,4.445,177,90.458
Autodromo do Estoril,PORTUGAL,4.182,153.7,97.928
Comunitat Valenciana,SPAIN,4.005,155.2,92.914
