Points,Rider,Bike,Nation,Times
362,Marc Marquez,Honda,SPA,17
295,Valentino Rossi,Yamaha,ITA,17
263,Jorge Lorenzo,Yamaha,SPA,16
246,Dani Pedrosa,Honda,SPA,16
187,Andrea Dovizioso,Ducati,ITA,17
136,Pol Espargaro,Yamaha,SPA,14
126,Aleix Espargaro,Forward Yamaha,SPA,14
121,Bradley Smith,Yamaha,GBR,16
117,Stefan Bradl,Honda,GER,13
102,Andrea Iannone,Ducati,ITA,12
89,Alvaro Bautista,Honda,SPA,11
81,Scott Redding,Honda,GBR,17
74,Cal Crutchlow,Ducati,GBR,9
68,Hiroshi Aoyama,Honda,JPN,18
53,Yonny Hernandez,Ducati,COL,14
47,Nicky Hayden,Honda,USA,11
33,Karel Abraham,Honda,CZE,12
26,Hector Barbera,Ducati,SPA,14
18,Michele Pirro,Ducati,ITA,5
17,Danilo Petrucci,ART,ITA,8
14,Alex De Angelis,Forward Yamaha,RSM,7
11,Colin Edwards,Forward Yamaha,USA,8
9,Broc Parkes,PBM,AUS,16
9,Michael Laverty,PBM,GBR,16
9,Mike Di Meglio,Avintia,FRA,15
4,Katsuyuki Nakasuga,Yamaha,JPN,1
1,Leon Camier,Honda,GBR,3
